type,name,calendar,category,sbj_list,cnbr_name
plan,SE,2021,1A,CS,137
,,,,ECE,105
,,,,MATH,115
,,,,MATH,117
,,,,MATH,135
,,,,SE,101
,,,1B,CS,138
,,,,ECE,106
,,,,ECE,124
,,,,ECE,140
,,,,MATH,119
,,,2A,CHE,102
,,,,list,cs_241
,,,,ECE,222
,,,,SE,212
,,,,STAT,206
,,,2B,CS,240
,,,,CS,247
,,,,CS,348
,,,,list,se_engEcon
,,,,MATH,239
,,,3A,CS,341
,,,,CS,349
,,,,MATH,213
,,,,SE,350
,,,,SE,465
,,,3B,CS,343
,,,,ECE,358
,,,,SE,380
,,,,SE,390
,,,,SE,464
,,,4A,SE,463
,,,,SE,490
,,,4B,SE,491
,,,SCE,list,se_sce
,,,,list,se_sce
,,,LE,list,se_leImpact
,,,,list,se_leComm
,,,,list,eng_cseC
,,,ATE,list,se_ateCs
,,,,list,se_ateEce
,,,,list,se_ateAll
,,,OPEN,list,se_open
,,,,list,se_open
,,,PDENG,PD,19
,,,,PD,20
,,,,PD,10
,,,,PD,11
,,,,list,eng_pdOpt
,,,MLSTN,WHMIS,
,,,,WKTRM1,
,,,,WKTRM2,
,,,,WKTRM3,
,,,,WKTRM4,
,,,,WKTRM5,
list,biol130:,2021,,BIOL,130
,,,,BIOL,130L
list,biol240:,2021,,BIOL,240
,,,,BIOL,240L
list,biol373:,2021,,BIOL,373
,,,,BIOL,373L
list,chem123:,2021,,CHEM,123
,,,,CHEM,123L
list,chem237:,2021,,CHEM,237
,,,,CHEM,237L
list,chem262:,2021,,CHEM,262
,,,,CHEM,262L
list,cs_241,2021,,CS,241
,,,,CS,241E
list,se_ateAll,2021,,list,se_ateCs
,,,,list,se_ateEce
,,,,list,se_ateExtended
list,se_ateCs,2021,,CS,360
,,,,CS,365
,,,,CS,370
,,,,CS,371
,,,,CS,442
,,,,CS,444
,,,,CS,448
,,,,CS,449
,,,,CS,450
,,,,CS,451
,,,,CS,452
,,,,CS,454
,,,,CS,457
,,,,CS,458
,,,,CS,462
,,,,CS,466
,,,,CS,479
,,,,CS,480
,,,,CS,484
,,,,CS,485
,,,,CS,486
,,,,CS,487
,,,,CS,488
,,,,CS,489
list,se_ateEce,2021,,ECE,313
,,,,ECE,320
,,,,ECE,327
,,,,ECE,340
,,,,ECE,409
,,,,ECE,416
,,,,ECE,417
,,,,ECE,423
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,457C
,,,,ECE,458
,,,,ECE,459
,,,,ECE,481
,,,,ECE,486
,,,,ECE,488
,,,,ECE,493
,,,,ECE,495
list,se_ateExtended,2021,,CO,331
,,,,CO,342
,,,,CO,351
,,,,CO,353
,,,,CO,367
,,,,CO,456
,,,,CO,481
,,,,CO,485
,,,,CO,487
,,,,MSCI,343
,,,,MSCI,446
,,,,MSCI,543
,,,,MTE,544
,,,,MTE,546
,,,,SE,498
,,,,STAT,440
,,,,STAT,441
,,,,STAT,442
,,,,STAT,444
,,,,SYDE,533
,,,,SYDE,543
,,,,SYDE,548
,,,,SYDE,552
,,,,SYDE,556
,,,,SYDE,575
list,se_engEcon,2021,,ECE,192
,,,,MSCI,261
list,se_leComm,2021,,EMLS,101R
,,,,EMLS,102R
,,,,EMLS,129R
,,,,ENGL,109
,,,,ENGL,119
,,,,ENGL,129R
,,,,ENGL,209
,,,,ENGL,210E
,,,,SPCOM,100
,,,,SPCOM,223
list,se_leImpact,2021,,CS,492
,,,,list,eng_cseA
list,se_open,2021,,list,uw_all
list,se_sce,2021,,BIOL,110
,,,,BIOL,120
,,,,BIOL,150
,,,,BIOL,165
,,,,BIOL,211
,,,,BIOL,239
,,,,BIOL,241
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,209
,,,,CHEM,254
,,,,CHEM,266
,,,,CHEM,356
,,,,CHEM,404
,,,,EARTH,121
,,,,EARTH,122
,,,,EARTH,123
,,,,EARTH,221
,,,,EARTH,270
,,,,EARTH,281
,,,,ECE,231
,,,,ECE,403
,,,,ECE,404
,,,,ECE,405
,,,,ENVE,275
,,,,ENVS,200
,,,,NE,222
,,,,PHYS,124
,,,,PHYS,175
,,,,PHYS,234
,,,,PHYS,263
,,,,PHYS,275
,,,,PHYS,280
,,,,PHYS,334
,,,,PHYS,335
,,,,PHYS,375
,,,,PHYS,380
,,,,SCI,238
,,,,SCI,250
,,,,list,biol130:
,,,,list,biol240:
,,,,list,biol373:
,,,,list,chem123:
,,,,list,chem237:
,,,,list,chem262:
